Case,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
"Eine 35-jährige Patientin wird in Begleitung des Notarztes in die Klinik gebracht. Die Patientin war auf ihrem Pferd geritten. Dies ging durch, und die Patientin ist mit der rechten Körperhälfte mit hoher Geschwindigkeit gegen ein Verkehrsschild geprallt. Bei Eintreffen des Notarztes GCS 8. Intubation vor Ort und Verbringen in das nächstgelegene Krankenhaus. Übergabe durch den Notarzt: intubierte Patientin, hochgradig volumenbedürftig mit hochlaufenden kreislaufwirksamen Medikamenten (Adrenalin). In der Untersuchung: Patientin im Stiffneck auf der Vakuummatratze, Pupillen anisokor, links größer als rechts. Lichtreagibel. Auskultation des Thorax: links abgeschwächtes Atemgeräusch. Becken stabil, Extremitäten nicht verletzt. Keine äußeren Blutungen. Abdomen prall. Aktuell Blutdruck 80/30 mmHg. Herzfrequenz 140/min. Erste arterielle Blutgasanalyse: pH-Wert 7,37, pCO<sub>2</sub> 35 mmHg, pO<sub>2</sub> 125 mmHg, Bikarbonat 25 mmol/L, BE -1 mmol/L. O<sub>2</sub>-Sättigung 99 %. Hb 42 g/L.",Welche der genannten Vorgehensweisen ist bei der Patientin als Nächstes am ehesten indiziert?,0) Anlage einer Hirndrucksonde,1) Polytrauma-CT-Spirale,2) MRT des Abdomens,3) Anlage einer Thoraxdrainage links,4) 12-Kanal-EKG,1
"Eine 35-jährige Patientin wird in Begleitung des Notarztes in die Klinik gebracht. Die Patientin war auf ihrem Pferd geritten. Dies ging durch, und die Patientin ist mit der rechten Körperhälfte mit hoher Geschwindigkeit gegen ein Verkehrsschild geprallt. Bei Eintreffen des Notarztes GCS 8. Intubation vor Ort und Verbringen in das nächstgelegene Krankenhaus. Übergabe durch den Notarzt: intubierte Patientin, hochgradig volumenbedürftig mit hochlaufenden kreislaufwirksamen Medikamenten (Adrenalin). In der Untersuchung: Patientin im Stiffneck auf der Vakuummatratze, Pupillen anisokor, links größer als rechts. Lichtreagibel. Auskultation des Thorax: links abgeschwächtes Atemgeräusch. Becken stabil, Extremitäten nicht verletzt. Keine äußeren Blutungen. Abdomen prall. Aktuell Blutdruck 80/30 mmHg. Herzfrequenz 140/min. Erste arterielle Blutgasanalyse: pH-Wert 7,37, pCO<sub>2</sub> 35 mmHg, pO<sub>2</sub> 125 mmHg, Bikarbonat 25 mmol/L, BE -1 mmol/L. O<sub>2</sub>-Sättigung 99 %. Hb 42 g/L.",Bei weiterhin kritisch-instabiler Patientin sehen Sie ein großes intraperitoneal gelegenes Hämatom.  Welche der genannten Vorgehensweisen ist jetzt als Nächstes am ehesten indiziert?,"0) abwartendes, konservatives Vorgehen",1) sofortige Notfalloperation,2) Punktion des Abdomens mit Anlage einer Drainage,3) Anlage einer Thoraxdrainage links,4) Angio-CT des Schädels,1
"Ein 56 Jahre alter Herr kommt mit einem etwas breitbasigen Gangbild in die neurochirurgische Ambulanz. Er beklagt, dass er vor 4 Wochen relativ akut eine Verspannung in der rechten Schulter mit in den rechten Unterarm bis in die Finger II-IV ziehenden Schmerzen verspürt habe. Seitdem sei er zunehmend unsicher beim Gehen, und auch das Radfahren sei seitdem anstrengend geworden. Er berichtet, dass ihm kleinere Reparaturen am Haus, die er sonst gerne vorgenommen habe, nicht mehr gut von der Hand gingen. Bei der neurologischen Untersuchung sind die Eigenreflexe an den Beinen gesteigert, das Babinski-Zeichen ist beidseits positiv, das Lhermitte-Zeichen ist positiv, der Knie-Hacke-Versuch und der Seiltänzergang sind bei geschlossenen Augen ataktisch, bei offenen Augen kontrolliert. Die Kraft der Beinmuskeln entspricht insgesamt einem Kraftgrad 4-5. Die Ellbogenstreckung ist links abgeschwächt und der Trizepssehnenreflex links ausgefallen.",Welche der genannten diagnostisch-pathogenetischen Schlussfolgerungen ist/sind aufgrund der neurologischen Symptomatik am ehesten zu ziehen?  Es handelt sich um,0) eine durch eine Schädigung der Pyramidenbahnen erklärbare Gesamtsymptomatik,1) eine infolge einer Schädigung der linken Pyramidenbahn entstandene Muskelschwäche im linken Arm,2) eine auf einer Schädigung des Kleinhirns beruhende ataktische Symptomatik,3) ein durch eine Meningitis bedingtes Lhermitte-Zeichen,4) zentral bedingte neurologische Zeichen und radikulär bedingte Symptome,4
"Ein 56 Jahre alter Herr kommt mit einem etwas breitbasigen Gangbild in die neurochirurgische Ambulanz. Er beklagt, dass er vor 4 Wochen relativ akut eine Verspannung in der rechten Schulter mit in den rechten Unterarm bis in die Finger II-IV ziehenden Schmerzen verspürt habe. Seitdem sei er zunehmend unsicher beim Gehen, und auch das Radfahren sei seitdem anstrengend geworden. Er berichtet, dass ihm kleinere Reparaturen am Haus, die er sonst gerne vorgenommen habe, nicht mehr gut von der Hand gingen. Bei der neurologischen Untersuchung sind die Eigenreflexe an den Beinen gesteigert, das Babinski-Zeichen ist beidseits positiv, das Lhermitte-Zeichen ist positiv, der Knie-Hacke-Versuch und der Seiltänzergang sind bei geschlossenen Augen ataktisch, bei offenen Augen kontrolliert. Die Kraft der Beinmuskeln entspricht insgesamt einem Kraftgrad 4-5. Die Ellbogenstreckung ist links abgeschwächt und der Trizepssehnenreflex links ausgefallen.",Welche der genannten Therapieoptionen einschließlich Begründung sollte man dem Patienten am ehesten anbieten?,"0) Entfernung der Bandscheibe, um eine weitere Zunahme der Myelopathie zu verhindern",1) Verzicht auf eine Operation wegen schon eingetretenen Myelonschadens,2) Radiochemotherapie zur Entfernung des Wirbelsäulentumors,3) Wirbelkörperersatz zur Entfernung der degenerativen Wirbelkörperveränderungen,4) Verordnung neurotroper Medikamente zum Wiederaufbau des Myelons,0
"Bei der Früherkennungsuntersuchung auf Gebärmutterhalskrebs wird bei einer 45-jährigen Patientin mit klinisch unauffälliger Zervixschleimhaut ein Abstrich am Muttermund durchgeführt. Das Probenmaterial wird zytologisch untersucht, und erstmalig wird auch ein Screening auf humane Papillomaviren durchgeführt.",Welcher der folgenden Virustypen gehört hinsichtlich der Entstehung eines Zervixkarzinoms am ehesten zu den „Hochrisiko-Papillomaviren“?  HPV Typ,0) 1,1) 4,2) 11,3) 16,4) 20,3
"Bei der Früherkennungsuntersuchung auf Gebärmutterhalskrebs wird bei einer 45-jährigen Patientin mit klinisch unauffälliger Zervixschleimhaut ein Abstrich am Muttermund durchgeführt. Das Probenmaterial wird zytologisch untersucht, und erstmalig wird auch ein Screening auf humane Papillomaviren durchgeführt.","Welche der folgenden Untersuchungen ist am besten geeignet, im Abstrichmaterial eine Infektion mit HPV nachzuweisen?",0) Anti-HPV-IgA-ELISA,1) Anti-HPV-IgM-ELISA,2) Anzucht von HPV in Zellkultur,3) Nukleinsäure-Hybridisierung gegen HPV-L1-Gen,4) direkte Immunfluoreszenz auf HPV-E6-Onkoprotein,3
"Bei der Früherkennungsuntersuchung auf Gebärmutterhalskrebs wird bei einer 45-jährigen Patientin mit klinisch unauffälliger Zervixschleimhaut ein Abstrich am Muttermund durchgeführt. Das Probenmaterial wird zytologisch untersucht, und erstmalig wird auch ein Screening auf humane Papillomaviren durchgeführt.",Die HPV-Untersuchung bei der Patientin weist auf eine Infektion mit „Hochrisiko-Papillomaviren“ hin. Die Zytologie liefert ein unauffälliges Ergebnis.  Welche der folgenden weiteren Maßnahmen ist bei der Patientin am ehesten indiziert?,0) HPV-Impfung,1) keine weitere Maßnahme,2) Konisation,3) Kontrolluntersuchung in 12 Monaten,4) topische Applikation von Valaciclovir,3
"Durch den Notarzt wird eine 48-jährige Patientin in die Notaufnahme einer Klinik gebracht. Der Ehemann hat den Notarzt alarmiert, weil seine Frau sich mit Fieber ins Bett gelegt hatte und nach 2 Stunden kaum noch erweckbar war. Laut Angaben des Ehemannes sind Vorerkrankungen nicht bekannt, und Medikamente wurden bisher nicht eingenommen. Der Notarzt übergibt die Patientin dem diensthabenden Klinikarzt und berichtet, dass die Körpertemperatur bei 39,4 °C, die Herzfrequenz bei 92/min und der Blutdruck bei 110/80 mmHg liegen. Die Patientin ist erweckbar sowie orientiert zur Person, aber nicht zu Zeit und Ort, und zeigt eine deutliche Nackensteifigkeit. Nach Infusion von 500 mL kristalloider Flüssigkeit reagiert die Patientin auf Ansprache, ist aber weiterhin nicht zu Zeit und Ort orientiert. Der Klinikarzt bestätigt die Nackensteifigkeit, fokale neurologische Symptome findet er nicht. Er stellt die Verdachtsdiagnose „akute Meningitis“ und leitet die weitere Therapie ein.",Gegen welchen der folgenden Erreger muss in diesem Fall angesichts des Verdachts auf eine akute bakterielle Meningitis die ausgesuchte Antibiotikatherapie vordringlich wirksam sein?,0) Clostridioides (früher: Clostridium) difficile,1) Bacteroides fragilis,2) Pseudomonas aeruginosa,3) Streptococcus pneumoniae,4) Streptococcus agalactiae,3
"Durch den Notarzt wird eine 48-jährige Patientin in die Notaufnahme einer Klinik gebracht. Der Ehemann hat den Notarzt alarmiert, weil seine Frau sich mit Fieber ins Bett gelegt hatte und nach 2 Stunden kaum noch erweckbar war. Laut Angaben des Ehemannes sind Vorerkrankungen nicht bekannt, und Medikamente wurden bisher nicht eingenommen. Der Notarzt übergibt die Patientin dem diensthabenden Klinikarzt und berichtet, dass die Körpertemperatur bei 39,4 °C, die Herzfrequenz bei 92/min und der Blutdruck bei 110/80 mmHg liegen. Die Patientin ist erweckbar sowie orientiert zur Person, aber nicht zu Zeit und Ort, und zeigt eine deutliche Nackensteifigkeit. Nach Infusion von 500 mL kristalloider Flüssigkeit reagiert die Patientin auf Ansprache, ist aber weiterhin nicht zu Zeit und Ort orientiert. Der Klinikarzt bestätigt die Nackensteifigkeit, fokale neurologische Symptome findet er nicht. Er stellt die Verdachtsdiagnose „akute Meningitis“ und leitet die weitere Therapie ein.",Im vorliegenden Fall wird im Rahmen der Liquorpunktion nach 36 Stunden L. monocytogenes als Erreger identifiziert.  Welches der folgenden Antibiotikaregime ist nun die beste Wahl?,0) Vancomycin plus Meropenem,1) Ampicillin plus Gentamicin,2) Ceftriaxon plus Vancomycin,3) Clindamycin plus Ciprofloxacin,4) Metronidazol plus Ciprofloxacin,1
"Durch den Notarzt wird eine 48-jährige Patientin in die Notaufnahme einer Klinik gebracht. Der Ehemann hat den Notarzt alarmiert, weil seine Frau sich mit Fieber ins Bett gelegt hatte und nach 2 Stunden kaum noch erweckbar war. Laut Angaben des Ehemannes sind Vorerkrankungen nicht bekannt, und Medikamente wurden bisher nicht eingenommen. Der Notarzt übergibt die Patientin dem diensthabenden Klinikarzt und berichtet, dass die Körpertemperatur bei 39,4 °C, die Herzfrequenz bei 92/min und der Blutdruck bei 110/80 mmHg liegen. Die Patientin ist erweckbar sowie orientiert zur Person, aber nicht zu Zeit und Ort, und zeigt eine deutliche Nackensteifigkeit. Nach Infusion von 500 mL kristalloider Flüssigkeit reagiert die Patientin auf Ansprache, ist aber weiterhin nicht zu Zeit und Ort orientiert. Der Klinikarzt bestätigt die Nackensteifigkeit, fokale neurologische Symptome findet er nicht. Er stellt die Verdachtsdiagnose „akute Meningitis“ und leitet die weitere Therapie ein.",Gemäß der aktuellen Leitlinie wurde parallel zur Antibiotikatherapie eine adjuvante Therapie mit Dexamethason begonnen.  Welche der folgenden Vorgehensweisen sollte hinsichtlich der adjuvanten Dexamethason-Therapie in dieser Situation am ehesten angewandt werden?,0) Fortführung regelhaft über insgesamt 4 Tage angesichts der Häufigkeit des nachgewiesenen Erregers,1) Verlängerung auf mindestens 7 Tage wegen der durch den nachgewiesenen Erreger hervorgerufenen starken lokalen Inflammation,2) Absetzen wegen Fehlens eines therapeutischen Vorteils hinsichtlich des nachgewiesenen Erregers,3) Fortführung zwecks besserer Penetration der Antibiotika ins Gehirn,4) Absetzen wegen Kontraindikation aufgrund der zusätzlichen Immunsuppression,2
